0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02	2.09E-02
3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02	3.85E-02
5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02
6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02	6.39E-02
7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02	7.18E-02
7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02	7.70E-02
7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02	7.98E-02
8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02	8.07E-02
8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02	8.02E-02
7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02
7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02	7.61E-02
7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02	7.31E-02
6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02	6.98E-02
6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02	6.61E-02
6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02	6.21E-02
5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02	5.77E-02
5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02	5.29E-02
4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02	4.73E-02
4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02	4.10E-02
3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02	3.38E-02
2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02	2.58E-02
1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02	1.72E-02
8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03	8.36E-03
0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
